1	3	4	5	2			9															
																						
14	3	4	5	2			9															
15	3	4	5	2			9															
																						
																						
																						
																						
																						
																						
																						
								34	28	29												27
																						
								26	28	29								25				27
																						
																						
				40			9													35		
														36					37			
												41							42			
								47	28	29												27
													48						49			
								50	28	29												27
																						
								52	28	29						51						27
																						
																						
																						
																						
																						
																						
																					99	
								59	28	29												27
																						
																						
																						
																						
																						
																						
																						
																						
				40			9													63		
																						
																						
																						
																						
																						
																						
																						
																						
											66											
																						
																						
																	70					
																						
																						
									28	29												72
									73	29												
										74												
								52	28	29						75						27
																						
																						
																						
															77							
																						
					79		81															
																						
																						
								82	28	29												27
																						
																						
																						
								84	28	29												27
																						
																						
																						
																						
																						
																						
																			87			
																						
				40			9													88		
																						
																						
																						
																	89					
										90												
																						
																						
																						
																						
																						
															93							
						94																
																						
																						
																						
				40			9													97		
																						
																						
																						
																						
